# dictionary table file for training
# nnsvs-common phonemes
br br
息 br
pau pau
R pau
- pau
sil sil
# phonemes only
a a
e e
i i
o o
u u
p p
b b
t t
d d
k k
g g
ts ts
dz dz
f f
v v
T T
th T
D D
dh D
s s
z z
x x
G G
gh G
m m
n n
N N
ng N
l l
ll ll
r r
rr rr
y y
kj kj
gj gj
xj xj
nj nj
ks ks
.ks k s
ps ps
.ps p s
# extra common phonemes
cl cl
q cl
GlottalStop cl
glottalstop cl
gs cl
・ cl
vf vf
' vf
’ vf
Edge vf
edge vf
VocalFry vf
vocalfry vf
